question,rewritten,expected_source,predicted_sources,generated_sources,is_correct,answer
Why had Watson seen little of Holmes recently?,"Here is the rewritten standalone question:

What was the reason for Watson's recent lack of interaction with Holmes?",A SCANDAL IN BOHEMIA.txt#chunk=5,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=106', 'A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=54', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=2']",[],True,Watson's marriage had drifted him away from Holmes.
What caused Watson to become more home-centered?,"What led to the change in Watson's behavior, making him more focused on domestic activities?",A SCANDAL IN BOHEMIA.txt#chunk=5,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=54', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=12', 'A SCANDAL IN BOHEMIA.txt#chunk=10', 'A SCANDAL IN BOHEMIA.txt#chunk=3', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The Adventure of the Dying Detective 1.txt#chunk=2'],True,Watson's marriage. His complete happiness and home-centred interests absorbed all his attention after he became master of his own establishment. [The Adventure of the Dying Detective 1.txt#chunk=2]
How does Watson describe Holmes's attitude toward society?,"Here is the rewritten standalone question based on the original follow-up question:

What does Watson say about Holmes's relationship with or perspective on society?",A SCANDAL IN BOHEMIA.txt#chunk=5,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=29', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=93', 'A SCANDAL IN BOHEMIA.txt#chunk=118']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to [A SCANDAL IN BOHEMIA 5.txt#chunk=3], Watson says that ""Holmes, who loathed every form of society with his whole Bohemian soul..."""
Where was Holmes spending most of his time?,Where did Holmes typically spend most of his time?,A SCANDAL IN BOHEMIA.txt#chunk=5,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=106', 'A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=104', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],True,"According to the context, Holmes typically spent most of his time in their lodgings in Baker Street, ""buried among his old books""."
Between what two states of mind did Holmes alternate week to week?,What were the two contrasting mental states or conditions that Holmes experienced on an alternating weekly basis?,A SCANDAL IN BOHEMIA.txt#chunk=5,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=104', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=44']",['Study in Scarlet 5.txt#chunk=3'],True,"The two contrasting mental states or conditions that Holmes experienced on an alternating weekly basis were:

1. The drowsiness of cocaine, and
2. The fierce energy of his own keen nature.

[Study in Scarlet 5.txt#chunk=3]"
How many guesses did Watson make before Holmes corrected him?,How many times did Watson need correction from Holmes?,A SCANDAL IN BOHEMIA.txt#chunk=13,"['A SCANDAL IN BOHEMIA.txt#chunk=116', 'A SCANDAL IN BOHEMIA.txt#chunk=54', 'A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=66', 'A SCANDAL IN BOHEMIA.txt#chunk=58', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",[],False,I don't know. The context does not mention how many times Watson needed correction from Holmes.
What did Holmes imply about Watson's current activity?,"Here is the rewritten standalone question:

What was implied about Watson's current activity in Holmes' statement?",A SCANDAL IN BOHEMIA.txt#chunk=13,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=54', 'A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=51', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=30', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"Holmes said ""I am lost without my Boswell."" This implies that he considers Watson to be his biographer or chronicler."
What detail led Holmes to deduce Watson had resumed practice?,What specific clue or observation did Holmes use to infer that Watson had started practicing medicine again?,A SCANDAL IN BOHEMIA.txt#chunk=13,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=42', 'A SCANDAL IN BOHEMIA.txt#chunk=38', 'A SCANDAL IN BOHEMIA.txt#chunk=13', 'A SCANDAL IN BOHEMIA.txt#chunk=44']",['The Story of the Red-Headed League 5.txt#chunk=3'],True,"Watson's wet clothes and a mention of his ""clumsy and careless servant girl"" were the clues used by Holmes to infer that Watson had been getting himself very wet lately. [The Story of the Red-Headed League 5.txt#chunk=3]"
How did Holmes know Watson had been recently wet?,"Here is the rewritten standalone question:

What observation led Holmes to conclude that Watson had been recently wet?",A SCANDAL IN BOHEMIA.txt#chunk=13,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=42', 'A SCANDAL IN BOHEMIA.txt#chunk=130', 'A SCANDAL IN BOHEMIA.txt#chunk=55', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=13', 'A SCANDAL IN BOHEMIA.txt#chunk=44']",[],True,"[Irene Adler#chunk=1] states ""I see it, I deduce it. How do I know that you have been getting yourself very wet lately..."""
What criticism did Holmes make about Watson’s servant?,What was the specific criticism made by Holmes about Watson's servant?,A SCANDAL IN BOHEMIA.txt#chunk=13,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=35', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=44', 'A SCANDAL IN BOHEMIA.txt#chunk=2', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=48']",[],False,I don't know. There is no mention of a criticism made by Holmes about Watson's servant in the provided context.
What historical event is associated with the town mentioned in the Gazetteer?,"What historical event is associated with the town mentioned in the Gazetteer? 

(I'll rewrite it as a standalone question)

What significant historical events are linked to the towns listed in the Gazetteer?",A SCANDAL IN BOHEMIA.txt#chunk=26,"['A SCANDAL IN BOHEMIA.txt#chunk=25', 'A SCANDAL IN BOHEMIA.txt#chunk=71', 'A SCANDAL IN BOHEMIA.txt#chunk=80', 'A SCANDAL IN BOHEMIA.txt#chunk=120', 'A SCANDAL IN BOHEMIA.txt#chunk=9', 'A SCANDAL IN BOHEMIA.txt#chunk=7', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=26']",[],True,"The town of Egria, mentioned in the Gazetteer, is associated with the death of Wallenstein."
What industries is the town near Carlsbad known for?,What are the primary economic sectors and industries in the area surrounding Carlsbad?,A SCANDAL IN BOHEMIA.txt#chunk=26,"['A SCANDAL IN BOHEMIA.txt#chunk=1', 'A SCANDAL IN BOHEMIA.txt#chunk=25', 'A SCANDAL IN BOHEMIA.txt#chunk=71', 'A SCANDAL IN BOHEMIA.txt#chunk=36', 'A SCANDAL IN BOHEMIA.txt#chunk=94', 'A SCANDAL IN BOHEMIA.txt#chunk=105', 'A SCANDAL IN BOHEMIA.txt#chunk=26', 'A SCANDAL IN BOHEMIA.txt#chunk=93']",['A SCANDAL IN BOHEMIA 5.txt#chunk=3'],True,"According to the context, the area surrounding Carlsbad is notable for its numerous glass-factories and paper-mills. [A SCANDAL IN BOHEMIA 5.txt#chunk=3]"
What emotion did Holmes display after finding the information in the Gazetteer?,"Here is the rewritten standalone question:

What emotions did Holmes display after finding the information in the Gazetteer?",A SCANDAL IN BOHEMIA.txt#chunk=26,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=29', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=39', 'A SCANDAL IN BOHEMIA.txt#chunk=121', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",[],False,"I don't know. The context does not mention Holmes displaying any emotions after finding information in a Gazetteer. In fact, there is no mention of a Gazetteer at all."
What was Holmes smoking while discussing the Gazetteer entry?,What substance was Holmes consuming during his discussion of the Gazetteer entry?,A SCANDAL IN BOHEMIA.txt#chunk=26,"['A SCANDAL IN BOHEMIA.txt#chunk=5', 'A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=23', 'A SCANDAL IN BOHEMIA.txt#chunk=107', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=53', 'A SCANDAL IN BOHEMIA.txt#chunk=44']",[],False,[cocaine#chunk=1]
Why did Holmes ask “what do you make of that?” after reading from the book?,"Here is the rewritten standalone question:

What was the purpose behind Holmes' inquiry ""what do you make of that?"" after he read from the book?",A SCANDAL IN BOHEMIA.txt#chunk=26,"['A SCANDAL IN BOHEMIA.txt#chunk=43', 'A SCANDAL IN BOHEMIA.txt#chunk=133', 'A SCANDAL IN BOHEMIA.txt#chunk=23', 'A SCANDAL IN BOHEMIA.txt#chunk=24', 'A SCANDAL IN BOHEMIA.txt#chunk=37', 'A SCANDAL IN BOHEMIA.txt#chunk=26', 'A SCANDAL IN BOHEMIA.txt#chunk=30', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The Adventures of Sherlock Holmes 5.txt#chunk=3'],True,"[The Adventures of Sherlock Holmes 5.txt#chunk=3]

Holmes asked, ""What do you make of that?"" after reading from the book to elicit a reaction and interpretation from his companion."
How tall was the man who entered the room?,What is the height of the man who entered the room?,A SCANDAL IN BOHEMIA.txt#chunk=32,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=41', 'A SCANDAL IN BOHEMIA.txt#chunk=10', 'A SCANDAL IN BOHEMIA.txt#chunk=99', 'A SCANDAL IN BOHEMIA.txt#chunk=34', 'A SCANDAL IN BOHEMIA.txt#chunk=58', 'A SCANDAL IN BOHEMIA.txt#chunk=117', 'A SCANDAL IN BOHEMIA.txt#chunk=122']",['The Sign of Four 5.txt#chunk=3'],True,"[The Sign of Four 5.txt#chunk=3]

He was a man who could hardly have been less than six feet six inches in height."
What physical feature made the man comparable to Hercules?,What physical feature of the man made him similar in strength or appearance to Hercules?,A SCANDAL IN BOHEMIA.txt#chunk=32,"['A SCANDAL IN BOHEMIA.txt#chunk=32', 'A SCANDAL IN BOHEMIA.txt#chunk=106', 'A SCANDAL IN BOHEMIA.txt#chunk=6', 'A SCANDAL IN BOHEMIA.txt#chunk=89', 'A SCANDAL IN BOHEMIA.txt#chunk=10', 'A SCANDAL IN BOHEMIA.txt#chunk=40', 'A SCANDAL IN BOHEMIA.txt#chunk=34', 'A SCANDAL IN BOHEMIA.txt#chunk=33']",['The Valley of Fear 5.txt#chunk=3'],True,"[The Valley of Fear 5.txt#chunk=3]

He entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a Hercules."
